state,total_population,male_population,female_population,age_under15years,age_15and19years,age_20and24years,age_25and44years,age_45and54years,age_55and64years,age_65and74years,age_75andOlder,race_white,race_black,race_american_indian,race_asian,race_hawaiian,race_other,race_two_or_more,income_Less_than10k,income_10k_to_19999k,income_20k_to_29999k,income_30k_to_39999k,income_40k_to_49999k,income_50k_to_59999k,income_60k_to_74999k,income_75k_to_99999k,income_100k_to_124999k,income_125k_to_149999k,income_150k_to_199999k,income_200k_or_more,education_less_than_highschool,education_highschool,education_some_college_associate,education_bachelors_or_higher,employment_employed,employment_unemployed,employment_armed_forces,employment_not_in_labor_force
GA,9687653,4826927,5002284,5787440,2950435,32151,314467,6799,388872,207489,2071630,709999,680080,2733100,1391252,1069557,606429,425606,309460,416349,401342,369254,324524,286143,345801,403497,232370,134140,127528,118842,1001937,1799352,1712992,1716045,4304791,542816,81644,2598125
GU,154805,79181,75624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,1360301,654657,640521,336599,21424,4164,525078,135422,16985,320629,252307,85994,95829,361706,193765,175562,100523,94615,25427,35415,38091,38185,38266,34539,48394,67192,47187,25579,27658,20203,84651,254898,282239,261095,607551,46672,46062,337388
IA,3046355,1483357,1524500,2781561,89148,11084,53094,2003,56132,53333,603673,216837,213350,747131,439726,372750,224656,228232,82437,146299,144065,138118,129109,111250,132848,158040,84793,42368,30526,26951,188266,653961,641752,496918,1552500,98487,3581,727717
ID,1567582,776454,769347,1396487,9810,21441,19069,2317,79523,38935,359922,115359,108209,400574,208537,180313,109534,85134,36809,68776,74828,67078,61055,53233,61519,65804,32719,14788,11591,10266,112027,278026,343425,230252,685475,73058,5188,409625
IL,12830632,6359111,6551298,9177877,1866414,43963,586934,4050,861412,289982,2574430,922092,878964,3501847,1870879,1473207,849535,759678,349324,499115,491716,453675,419496,385098,500630,618724,391904,221694,213560,212516,1146840,2302533,2406837,2581463,6029349,715005,19455,3330315
IN,6483802,3159805,3263308,5467906,591397,18462,102474,2348,173314,127901,1331067,475515,452026,1668175,946768,769143,452335,388773,191254,293632,316737,289801,258589,220648,267717,286748,162812,75816,65673,48121,560938,1487584,1200368,944320,2934902,361143,6394,1710421
KS,2853118,1397869,1420878,2391044,167864,28150,67762,2238,110127,85933,606823,203821,204454,724393,406264,331247,190389,185727,78203,128951,134320,120020,115976,90443,124054,133870,72819,38477,35544,32299,185640,517000,573410,533004,1380536,107873,17279,688112
KY,4339367,2111522,2202591,3809537,337520,10120,48930,2501,55551,75208,849409,296795,289968,1142878,643097,538993,325314,252913,190767,242096,221519,191408,167931,134480,159511,175369,94657,47971,36622,31866,526902,981970,764894,603567,1851458,208134,21680,1332802
LA,4533372,2181738,2310338,2836192,1452396,30579,70132,1963,69227,72883,927458,326779,338309,1193032,654375,535562,311994,245863,174646,236662,206736,181398,162014,124321,157268,184426,108347,59132,50155,42922,516420,994399,765982,620131,1994133,182502,18373,1302988
MA,6547629,3203980,3389607,5265236,434398,18850,349768,2223,305151,172003,1158387,462756,475668,1732290,1012435,803369,456460,446264,170788,233897,195856,197768,195177,172990,250046,325754,242946,164168,163722,162380,495310,1181095,1097462,1716578,3304921,329199,6783,1690618
MD,5773552,2765653,2933825,3359284,1700298,20420,318853,3157,206832,164708,1110385,406241,393698,1557614,902204,695768,386357,321285,113297,148297,151997,173426,164579,158340,218547,289456,217147,146026,166935,147075,447385,1013865,981221,1355268,2867600,250147,35730,1359369
ME,1328361,642823,675478,1264971,15707,8568,13571,342,4261,20941,222649,88310,79646,316000,218575,192101,112651,98429,40142,68651,68217,64144,55211,49884,60018,63945,32750,16557,14341,10995,90677,317244,267777,249275,651259,50387,3564,377996
MI,9883640,4903174,5066553,7803120,1400362,62007,238199,2604,147029,230319,1909286,739599,669072,2442123,1510033,1251997,724709,636821,342157,463065,472801,427805,372751,329427,380697,434991,251649,137711,111016,95666,801232,2057412,2137405,1628826,4237865,732319,7181,2931495
MN,5303925,2615345,2650870,4524062,274412,60916,214234,2156,103000,125145,1063382,367829,355651,1396680,807898,629364,354427,328694,129929,201193,207939,208735,193157,179743,237417,295747,173860,94727,85624,77696,297096,972163,1118853,1098041,2706630,240204,4023,1200624
MO,5988927,2928463,3059117,4958770,693391,27376,98083,6261,80457,124589,1177625,423786,413289,1524083,888572,723278,450490,387804,201855,284602,292524,270765,228223,202581,242901,270385,150197,75639,65127,54885,524505,1267009,1170953,999095,2787197,276579,20768,1635137
MP,69221,31984,37237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,2967297,1434962,1517034,1754684,1098385,15030,25742,1187,38162,34107,624876,224619,210894,762200,416976,347325,214469,165938,135507,181231,148965,118955,104163,84285,97361,107194,52282,27258,20950,16875,366000,572627,561575,365660,1196480,143299,15504,917196
MT,989415,485597,489392,884961,4027,62555,6253,668,5975,24976,184312,66724,67138,235809,149832,138858,80742,66000,31623,51665,48993,43774,40235,32754,38183,43811,21794,8722,7403,6330,59423,204204,207569,177632,463880,39957,4221,272034
NC,9535483,4580153,4800731,6528950,2048628,122110,208962,6604,414030,206199,1899089,659591,661573,2573744,1368646,1138761,697567,536512,328207,476472,460045,420245,355798,298457,360070,403009,224494,116912,103530,98856,963724,1678361,1875589,1632573,4145233,512909,111200,2584413
ND,672591,323783,323061,605449,7960,36591,6909,320,3509,11853,124461,47474,58956,165747,96657,81819,46873,50604,23233,31524,33466,30231,27896,23627,30984,36320,17744,10275,7006,6708,41627,114416,155357,108035,345938,13663,6166,156882
NE,1826341,890892,905730,1572838,82885,18427,32293,1279,79109,39510,383542,128930,129276,466014,258726,213176,123126,123551,49531,85086,84738,83351,72371,65209,79461,85840,46139,24827,18331,16339,117664,329580,390521,315465,931004,59897,6638,400180
